ensembl_id	gene_name	chr	start	end	score	strand	frame	gene_type	transcript_id.s.	GC1|expected_count	GC2|expected_count	GC3|expected_count	MG1|expected_count	MG2|expected_count	MG3|expected_count	GC1|TPM	GC2|TPM	GC3|TPM	MG1|TPM	MG2|TPM	MG3|TPM	GC1|FPKM	GC2|FPKM	GC3|FPKM	MG1|FPKM	MG2|FPKM	MG3|FPKM
ENSMUSG00000000093.6	Tbx2	chr11	85832551	85841948	.	+	.	protein_coding	ENSMUST00000000095.6	111	110	91	72	89	170	2.43	2.35	1.72	2.26	2.45	4.7	5.02	4.69	3.91	3.17	3.63	6.23
ENSMUSG00000000094.12	Tbx4	chr11	85886422	85916097	.	+	.	protein_coding	ENSMUST00000000096.11,ENSMUST00000108045.2,ENSMUST00000108047.7	17	85	26	19	24	12	0.43	2.11	0.6	0.7	0.77	0.4	0.89	4.21	1.36	0.98	1.14	0.54
ENSMUSG00000000103.12	Zfy2	chrY	2106015	2170409	.	-	.	protein_coding	ENSMUST00000115891.1,ENSMUST00000187148.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	Ngfr	chr11	95568818	95587735	.	-	.	protein_coding	ENSMUST00000000122.6	23	0	17	7	1	13	0.53	0	0.34	0.23	0.03	0.38	1.1	0	0.77	0.33	0.04	0.5
ENSMUSG00000000125.5	Wnt3	chr11	103774150	103817957	.	+	.	protein_coding	ENSMUST00000000127.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.11	Wnt9a	chr11	59306928	59333552	.	+	.	protein_coding	ENSMUST00000000128.9,ENSMUST00000108783.3	84	382	121	224	280	227	2.02	8.98	2.52	7.71	8.47	6.9	4.18	17.9	5.71	10.83	12.56	9.14
ENSMUSG00000000127.15	Fer	chr17	63863062	64139496	.	+	.	protein_coding	ENSMUST00000000129.13,ENSMUST00000038080.6,ENSMUST00000232945.1,ENSMUST00000233190.1	141	133	114	99	95	115	3.96	3.56	2.67	3.83	3.28	4.04	8.19	7.09	6.07	5.39	4.86	5.35
ENSMUSG00000000131.15	Xpo6	chr7	126101715	126200501	.	-	.	protein_coding	ENSMUST00000009344.15,ENSMUST00000168189.7	276	309	214	229	205	259	4.75	5.27	3.18	5.65	4.45	5.64	9.82	10.5	7.23	7.93	6.59	7.47
ENSMUSG00000000134.17	Tfe3	chrX	7762560	7775202	.	+	.	protein_coding	ENSMUST00000077680.9,ENSMUST00000079542.12,ENSMUST00000101695.8,ENSMUST00000115677.7,ENSMUST00000115678.2,ENSMUST00000115679.7,ENSMUST00000137467.7	161	234	94	124	169	118	4.06	5.67	2.13	4.34	5.19	3.75	8.39	11.3	4.84	6.1	7.69	4.96
ENSMUSG00000000142.15	Axin2	chr11	108920349	108950783	.	+	.	protein_coding	ENSMUST00000052915.13,ENSMUST00000106711.1	154	224	137	143	161	118	3.33	5.72	2.95	4.66	4.09	3.87	6.88	11.39	6.71	6.54	6.06	5.12
ENSMUSG00000000148.17	Brat1	chr5	140705011	140719379	.	+	.	protein_coding	ENSMUST00000041588.12,ENSMUST00000100505.2,ENSMUST00000110806.7	106	134	66	62	83	78	2.49	3.03	1.37	2.05	2.48	2.31	5.14	6.03	3.1	2.88	3.68	3.06
ENSMUSG00000000149.10	Gna12	chr5	140758408	140830431	.	-	.	protein_coding	ENSMUST00000000153.8	463	489	441	472	740	634	10.8	11.14	8.89	15.75	21.71	18.69	22.33	22.21	20.19	22.13	32.18	24.74
ENSMUSG00000000154.16	Slc22a18	chr7	143473736	143499334	.	+	.	protein_coding	ENSMUST00000052348.11,ENSMUST00000105917.2	1	10	15	0	1	1	0.06	0.56	0.74	0	0.07	0.07	0.12	1.11	1.68	0	0.11	0.09
ENSMUSG00000000157.16	Itgb2l	chr16	96422288	96443619	.	-	.	protein_coding	ENSMUST00000000161.13,ENSMUST00000113773.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159.16	Igsf5	chr16	96361668	96422121	.	+	.	protein_coding	ENSMUST00000000163.12,ENSMUST00000081093.9,ENSMUST00000113794.7	0	0	0	1	0	3	0	0	0	0.08	0	0.21	0	0	0	0.11	0	0.28
ENSMUSG00000000167.14	Pih1d2	chr9	50617321	50625000	.	+	.	protein_coding	ENSMUST00000000171.14	1	0	0	2	0	0	0.07	0	0	0.2	0	0	0.15	0	0	0.29	0	0
ENSMUSG00000000168.9	Dlat	chr9	50634633	50659780	.	-	.	protein_coding	ENSMUST00000034567.3	602	257	781	1205	1473	1584	11.77	4.91	13.19	33.72	36.25	39.15	24.32	9.78	29.95	47.38	53.73	51.84
ENSMUSG00000000171.5	Sdhd	chr9	50596357	50603812	.	-	.	protein_coding	ENSMUST00000000175.5	499	145	597	708	1021	893	36.75	10.45	38.03	73.72	93.17	82.1	75.95	20.83	86.38	103.58	138.09	108.7
ENSMUSG00000000182.9	Fgf23	chr6	127072902	127081408	.	+	.	protein_coding	ENSMUST00000000186.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183.6	Fgf6	chr6	127015586	127028187	.	+	.	protein_coding	ENSMUST00000000187.6	58	0	122	34	35	29	0.98	0	1.77	0.82	0.74	0.62	2.02	0	4.02	1.15	1.1	0.82
ENSMUSG00000000184.12	Ccnd2	chr6	127125162	127152193	.	-	.	protein_coding	ENSMUST00000000188.11,ENSMUST00000201066.1,ENSMUST00000201637.1	633	1301	685	350	454	360	9.66	18.08	9.82	6.13	7.89	7.3	19.96	36.03	22.3	8.61	11.69	9.67
ENSMUSG00000000194.13	Gpr107	chr2	31152316	31218775	.	+	.	protein_coding	ENSMUST00000056433.6	298	353	362	273	320	290	3.76	4.35	3.94	4.94	5.09	4.63	7.77	8.66	8.96	6.94	7.55	6.13
ENSMUSG00000000197.8	Nalcn	chr14	123276634	123627144	.	-	.	protein_coding	ENSMUST00000000201.6	45	334	57	23	24	9	0.49	3.52	0.53	0.36	0.33	0.12	1.01	7.02	1.21	0.5	0.49	0.16
ENSMUSG00000000202.9	Btbd17	chr11	114791217	114795945	.	-	.	protein_coding	ENSMUST00000000206.3	2	0	0	1	1	1	0.1	0	0	0.07	0.06	0.06	0.21	0	0	0.1	0.09	0.08
ENSMUSG00000000204.16	Slfn4	chr11	83175186	83190216	.	+	.	protein_coding	ENSMUST00000000208.12,ENSMUST00000167596.1,ENSMUST00000215472.1	1	2	0	23.93	5.22	5	0.05	0.04	0	0.72	0.14	0.14	0.1	0.08	0	1.01	0.21	0.18
ENSMUSG00000000214.11	Th	chr7	142892752	142931128	.	-	.	protein_coding	ENSMUST00000000219.9,ENSMUST00000105929.10	0	0	0	6	0	1	0	0	0	0.4	0	0.06	0	0	0	0.56	0	0.08
ENSMUSG00000000215.11	Ins2	chr7	142678656	142743381	.	-	.	protein_coding	ENSMUST00000000220.2,ENSMUST00000105930.7,ENSMUST00000105931.7,ENSMUST00000105932.1,ENSMUST00000105933.7,ENSMUST00000105934.7,ENSMUST00000162317.1,ENSMUST00000210288.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	Scnn1g	chr7	121734479	121768475	.	+	.	protein_coding	ENSMUST00000000221.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223.13	Drp2	chrX	134404551	134456573	.	+	.	protein_coding	ENSMUST00000113224.8,ENSMUST00000113226.1,ENSMUST00000113228.7,ENSMUST00000153424.7	699	116	96	169	87	86	9.87	1.61	1.55	3.82	1.71	1.72	20.4	3.2	3.52	5.36	2.53	2.27
ENSMUSG00000000244.17	Tspan32	chr7	143005046	143019644	.	+	.	protein_coding	ENSMUST00000009396.12,ENSMUST00000075172.11,ENSMUST00000082008.11,ENSMUST00000105923.7,ENSMUST00000105924.7,ENSMUST00000105925.7,ENSMUST00000207211.1	2	23	0	9	3	1	0.13	1.33	0	0.64	0.24	0.09	0.27	2.66	0	0.9	0.36	0.12
ENSMUSG00000000247.11	Lhx2	chr2	38339281	38369733	.	+	.	protein_coding	ENSMUST00000000253.5,ENSMUST00000143783.8	8	5	13	4	3	4	0.4	0.25	0.32	0.21	0.11	0.14	0.83	0.49	0.73	0.3	0.16	0.19
ENSMUSG00000000248.16	Clec2g	chr6	128934381	128984707	.	+	.	protein_coding	ENSMUST00000000254.13,ENSMUST00000075789.3,ENSMUST00000142388.7,ENSMUST00000203405.2,ENSMUST00000204259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253.13	Gmpr	chr13	45507444	45553800	.	+	.	protein_coding	ENSMUST00000000260.12	203	2	192	152	200	223	11.12	0.11	9.09	11.82	13.65	15.32	22.98	0.21	20.65	16.61	20.23	20.28
ENSMUSG00000000263.15	Glra1	chr11	55514238	55608198	.	-	.	protein_coding	ENSMUST00000075603.4,ENSMUST00000102716.9,ENSMUST00000108853.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	Mid2	chrX	140664599	140767715	.	+	.	protein_coding	ENSMUST00000112988.7,ENSMUST00000112990.7,ENSMUST00000112993.1	136	175	85	64	112	160	2.33	3.36	1.43	1.66	2.58	3.96	4.82	6.7	3.25	2.33	3.82	5.24
ENSMUSG00000000275.16	Trim25	chr11	88999376	89020293	.	+	.	protein_coding	ENSMUST00000000284.6,ENSMUST00000100627.8,ENSMUST00000107896.9	279	303	184	147	159	178	5.72	7.61	3.14	4.22	4.12	5.08	11.82	15.17	7.14	5.93	6.1	6.73
ENSMUSG00000000276.11	Dgke	chr11	89035179	89066850	.	-	.	protein_coding	ENSMUST00000000285.8,ENSMUST00000107894.7	137	91	145	48	68	90	1.71	1.14	1.63	0.92	1.08	1.53	3.53	2.27	3.7	1.3	1.59	2.03
ENSMUSG00000000278.10	Scpep1	chr11	88924020	88955465	.	-	.	protein_coding	ENSMUST00000000287.8	187	566	170	149	205	98	7.43	21.97	5.83	8.43	10.19	4.9	15.35	43.78	13.25	11.85	15.1	6.48
ENSMUSG00000000282.12	Mnt	chr11	74830920	74845725	.	+	.	protein_coding	ENSMUST00000000291.8	177	353	115	143	127	131	3.02	5.88	1.7	3.5	2.73	2.83	6.24	11.72	3.85	4.91	4.05	3.75
ENSMUSG00000000290.13	Itgb2	chr10	77530252	77565708	.	+	.	protein_coding	ENSMUST00000000299.13	49	96	51	160	136	117.77	1.33	2.54	1.19	6.2	4.63	4.03	2.75	5.07	2.71	8.71	6.87	5.34
ENSMUSG00000000295.13	Hddc2	chr10	31313383	31328204	.	+	.	protein_coding	ENSMUST00000000304.13	38	8	22	14	15	19	4.43	0.91	2.22	2.28	2.14	2.74	9.15	1.82	5.04	3.21	3.17	3.62
ENSMUSG00000000296.8	Tpd52l1	chr10	31332376	31445958	.	-	.	protein_coding	ENSMUST00000000305.6,ENSMUST00000213528.1,ENSMUST00000213639.1,ENSMUST00000214644.1,ENSMUST00000215515.1	70	12	62	39	61	66	6.3	0.83	4.17	5.07	6.38	7.91	13.03	1.66	9.47	7.13	9.46	10.47
ENSMUSG00000000301.16	Pemt	chr11	59970614	60046489	.	-	.	protein_coding	ENSMUST00000000310.13,ENSMUST00000102692.9,ENSMUST00000102693.8	7	5	6	5	9	6	0.71	0.5	0.53	0.71	1.12	0.76	1.47	0.99	1.2	1	1.66	1
ENSMUSG00000000303.12	Cdh1	chr8	106603351	106670246	.	+	.	protein_coding	ENSMUST00000000312.11,ENSMUST00000167688.1	49	0	0	6	0	0	1.17	0	0	0.15	0	0	2.43	0	0	0.21	0	0
ENSMUSG00000000305.12	Cdh4	chr2	179442431	179899373	.	+	.	protein_coding	ENSMUST00000000314.12,ENSMUST00000098996.1,ENSMUST00000108911.1	13	22	3	3	7	4	0.16	0.26	0.03	0.05	0.11	0.06	0.32	0.52	0.07	0.07	0.16	0.08
ENSMUSG00000000308.14	Ckmt1	chr2	121357714	121363737	.	+	.	protein_coding	ENSMUST00000000317.12,ENSMUST00000078222.8	4	0	0	1	0	0	0.23	0	0	0.08	0	0	0.47	0	0	0.11	0	0
ENSMUSG00000000317.11	Bcl6b	chr11	70224128	70229798	.	-	.	protein_coding	ENSMUST00000000326.11	52	46	60	136	131	100	1.23	1.07	1.23	4.61	3.9	2.99	2.55	2.12	2.79	6.48	5.79	3.96
ENSMUSG00000000318.16	Clec10a	chr11	70156197	70170834	.	+	.	protein_coding	ENSMUST00000000327.12,ENSMUST00000102571.9,ENSMUST00000178945.7	45.55	74.48	23.74	26.13	37.6	42.47	2.57	4.13	1.2	2.21	2.54	3.13	5.32	8.23	2.72	3.1	3.76	4.14
ENSMUSG00000000320.10	Alox12	chr11	70241457	70255353	.	-	.	protein_coding	ENSMUST00000000329.8,ENSMUST00000108574.2	38	76	147	16	52	58	1.26	2.27	3.73	0.61	2.04	2.06	2.6	4.52	8.47	0.86	3.03	2.73
ENSMUSG00000000325.16	Arvcf	chr16	18348182	18407076	.	+	.	protein_coding	ENSMUST00000090103.10,ENSMUST00000115610.1,ENSMUST00000115612.7,ENSMUST00000115613.8,ENSMUST00000115614.8,ENSMUST00000150253.2,ENSMUST00000232025.1	150	219	154	129	151	123	2.7	3.94	2.53	3.47	3.55	3.04	5.58	7.86	5.75	4.87	5.26	4.02
ENSMUSG00000000326.13	Comt	chr16	18406886	18426852	.	-	.	protein_coding	ENSMUST00000000335.11,ENSMUST00000115609.9,ENSMUST00000165430.7	207	352	215	263	329	338	11.36	18.84	9.94	20.76	22.32	24.08	23.47	37.54	22.57	29.16	33.08	31.88
ENSMUSG00000000339.14	Rtca	chr3	116488963	116508208	.	-	.	protein_coding	ENSMUST00000000348.14	66	71	99	85	117	165	3.58	3.77	4.64	6.55	7.9	11.22	7.4	7.5	10.54	9.2	11.72	14.86
ENSMUSG00000000340.10	Dbt	chr3	116513070	116549981	.	+	.	protein_coding	ENSMUST00000000349.10	143	282	82	83	93	128	3.46	6.67	1.71	2.87	2.83	3.91	7.15	13.29	3.89	4.04	4.19	5.18
ENSMUSG00000000346.9	Dazap2	chr15	100615349	100620761	.	+	.	protein_coding	ENSMUST00000000356.9	463	460	405	350.68	456	391	18.02	17.5	13.62	19.45	22.22	19.15	37.25	34.88	30.94	27.33	32.93	25.36
ENSMUSG00000000355.13	Mcts1	chrX	38600578	38613426	.	+	.	protein_coding	ENSMUST00000000365.2	22	26	19	55	55	66	2.9	3.37	2.17	10.13	8.85	10.73	6	6.71	4.94	14.23	13.11	14.21
ENSMUSG00000000359.3	Rem1	chr2	152626951	152635198	.	+	.	protein_coding	ENSMUST00000000369.3	62	77	49	49	39	43	3.2	3.89	2.19	3.6	2.51	2.79	6.62	7.75	4.97	5.05	3.72	3.69
ENSMUSG00000000365.9	Rnf17	chr14	56402581	56525032	.	+	.	protein_coding	ENSMUST00000095793.2,ENSMUST00000223627.1	0	1	0	0	0	0	0	0.04	0	0	0	0	0	0.08	0	0	0	0
ENSMUSG00000000374.8	Trappc10	chr10	78186725	78244641	.	-	.	protein_coding	ENSMUST00000000384.7	421	239	339	395	629	532	6.51	3.61	4.52	8.75	12.25	10.4	13.45	7.19	10.28	12.29	18.16	13.78
ENSMUSG00000000378.15	Ccm2	chr11	6546887	6596744	.	+	.	protein_coding	ENSMUST00000000388.14,ENSMUST00000109721.2,ENSMUST00000109722.8	105	173	163	148	246	220	4.78	7.7	6.7	9.58	14.24	12.73	9.87	15.34	15.21	13.46	21.11	16.85
ENSMUSG00000000381.10	Wap	chr11	6635482	6638637	.	-	.	protein_coding	ENSMUST00000102910.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384.15	Tbrg4	chr11	6615598	6626067	.	-	.	protein_coding	ENSMUST00000000394.13,ENSMUST00000189268.6	160	64	187	300	358	400	5.73	2.25	5.79	15.33	16.09	18.12	11.84	4.49	13.15	21.54	23.85	23.99
ENSMUSG00000000385.8	Tmprss2	chr16	97564682	97611195	.	-	.	protein_coding	ENSMUST00000000395.7	0	0	0	0	2	0	0	0	0	0	0.06	0	0	0	0	0	0.09	0
ENSMUSG00000000386.15	Mx1	chr16	97447035	97462907	.	-	.	protein_coding	ENSMUST00000023655.12,ENSMUST00000113768.7,ENSMUST00000232193.1	2.18	0	0	5	4	11	0.07	0	0	0.22	0.15	0.38	0.14	0	0	0.3	0.22	0.5
ENSMUSG00000000392.17	Fap	chr2	62500943	62574075	.	-	.	protein_coding	ENSMUST00000000402.15,ENSMUST00000102732.9,ENSMUST00000174234.7,ENSMUST00000174448.7	31	247	50	38	59	53	0.97	7.39	1.28	1.87	2.19	2.37	2	14.73	2.91	2.62	3.24	3.13
ENSMUSG00000000394.15	Gcg	chr2	62474530	62483650	.	-	.	protein_coding	ENSMUST00000102733.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399.10	Ndufa9	chr6	126821721	126849136	.	-	.	protein_coding	ENSMUST00000088194.6,ENSMUST00000205002.2	540	162	572	598	798	798	32.83	10.48	30.07	51.56	60.35	60.76	67.86	20.88	68.31	72.44	89.45	80.44
ENSMUSG00000000402.2	Egfl6	chrX	166523007	166585720	.	-	.	protein_coding	ENSMUST00000000412.2	27	19	40	5	9	0	0.81	0.56	1.04	0.21	0.34	0	1.67	1.11	2.36	0.3	0.5	0
ENSMUSG00000000409.14	Lck	chr4	129548344	129573641	.	-	.	protein_coding	ENSMUST00000067240.10,ENSMUST00000102596.7,ENSMUST00000167288.7	0	5	0	2	1	1	0	0.2	0	0.11	0.05	0.05	0	0.39	0	0.16	0.07	0.07
ENSMUSG00000000411.7	Tssk3	chr4	129489014	129491022	.	-	.	protein_coding	ENSMUST00000000421.5	1	0	0	0	0	0	0.07	0	0	0	0	0	0.15	0	0	0	0	0
ENSMUSG00000000416.16	Cttnbp2	chr6	18366478	18514843	.	-	.	protein_coding	ENSMUST00000090601.11	58	15	11	17	7	2	0.87	0.22	0.14	0.37	0.13	0.04	1.8	0.44	0.32	0.51	0.2	0.05
ENSMUSG00000000420.15	Galnt1	chr18	24205344	24286818	.	+	.	protein_coding	ENSMUST00000000430.13,ENSMUST00000170243.7,ENSMUST00000178605.1	421	476	386	486	583	621	8.61	9.45	6.72	14.27	14.88	15.9	17.8	18.84	15.26	20.04	22.06	21.05
ENSMUSG00000000435.1	Myf5	chr10	107482908	107486134	.	-	.	protein_coding	ENSMUST00000000445.1	0	0	3	24	18	34	0	0	0.1	1.37	0.9	1.71	0	0	0.24	1.92	1.34	2.27
ENSMUSG00000000439.9	Mkrn2	chr6	115601902	115622624	.	+	.	protein_coding	ENSMUST00000000449.8	212	177	175	188	220	221	2.63	2.14	1.88	3.35	3.44	3.47	5.44	4.27	4.26	4.7	5.11	4.6
ENSMUSG00000000440.12	Pparg	chr6	115360951	115490399	.	+	.	protein_coding	ENSMUST00000000450.4,ENSMUST00000171644.7,ENSMUST00000203732.2	149	205	112	35	56	56	6.81	9.31	4.23	1.95	2.9	3.1	14.08	18.56	9.61	2.74	4.3	4.11
ENSMUSG00000000441.17	Raf1	chr6	115618067	115676635	.	-	.	protein_coding	ENSMUST00000000451.13,ENSMUST00000112949.7	571	377	713	576	774	728	14.95	9.7	16.2	21.59	25.47	24.1	30.9	19.33	36.8	30.33	37.75	31.91
ENSMUSG00000000486.13	Sept1	chr7	127214447	127233130	.	-	.	protein_coding	ENSMUST00000106313.7,ENSMUST00000106314.7	0	20	11	2	3	7	0	1.15	0.67	0.17	0.26	0.52	0	2.29	1.51	0.23	0.39	0.68
ENSMUSG00000000489.7	Pdgfb	chr15	79995874	80014977	.	-	.	protein_coding	ENSMUST00000000500.7	382	224	259	760	819	719	10.46	5.99	6.12	29.73	28.16	24.84	21.61	11.94	13.91	41.77	41.73	32.89
ENSMUSG00000000530.16	Acvrl1	chr15	101128522	101145336	.	+	.	protein_coding	ENSMUST00000000542.13,ENSMUST00000117984.7,ENSMUST00000119063.7,ENSMUST00000120028.7,ENSMUST00000120754.1,ENSMUST00000121718.7	394	582	280	232	286	268	10.59	14.66	6.57	9.56	12.03	9.95	21.9	29.22	14.93	13.43	17.83	13.17
ENSMUSG00000000531.5	Grasp	chr15	101224188	101232756	.	+	.	protein_coding	ENSMUST00000000543.5	106	111	85	70	65	62	4.36	4.46	3.02	4.1	3.34	3.21	9.01	8.89	6.86	5.76	4.95	4.25
ENSMUSG00000000532.11	Acvr1b	chr15	101174067	101213684	.	+	.	protein_coding	ENSMUST00000000544.11	240	189	275	132	136	188	4.26	3.28	4.22	3.36	3.04	4.23	8.81	6.53	9.58	4.72	4.51	5.59
ENSMUSG00000000538.18	Tom1l2	chr11	60226714	60352905	.	-	.	protein_coding	ENSMUST00000064019.14,ENSMUST00000093046.12,ENSMUST00000093048.12,ENSMUST00000095254.11,ENSMUST00000102682.4,ENSMUST00000102683.10	688	639	641	714	914	857	12.39	13.5	10.44	17.34	19.17	18.64	25.6	26.9	23.71	24.36	28.42	24.68
ENSMUSG00000000544.14	Gpa33	chr1	166130238	166166510	.	+	.	protein_coding	ENSMUST00000060833.13,ENSMUST00000166860.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552.10	Zfp385a	chr15	103313895	103340093	.	-	.	protein_coding	ENSMUST00000168828.2,ENSMUST00000229373.1,ENSMUST00000229551.1	144	366	145	81	117	131	5.08	13.14	4.39	4.05	5.19	6.01	10.51	26.19	9.97	5.69	7.7	7.96
ENSMUSG00000000555.8	Itga5	chr15	103344286	103366763	.	-	.	protein_coding	ENSMUST00000023128.7	470	670	585	1007	930	965	8.42	11.73	9.05	25.84	20.99	21.87	17.41	23.37	20.57	36.31	31.11	28.96
ENSMUSG00000000560.9	Gabra2	chr5	70957597	71095849	.	-	.	protein_coding	ENSMUST00000197284.4	0	5	0	0	0	0	0	0.06	0	0	0	0	0	0.13	0	0	0	0
ENSMUSG00000000561.14	Wdr77	chr3	105959369	105970037	.	+	.	protein_coding	ENSMUST00000010278.11	105.98	119	82.58	179.53	255.53	282.29	2.28	2.5	1.54	5.53	6.93	7.69	4.72	4.99	3.49	7.77	10.26	10.18
ENSMUSG00000000562.5	Adora3	chr3	105870858	105908926	.	+	.	protein_coding	ENSMUST00000000574.2,ENSMUST00000164730.1	0	0	0	2	0	2	0	0	0	0.1	0	0.09	0	0	0	0.14	0	0.12
ENSMUSG00000000563.17	Atp5f1	chr3	105942698	105960099	.	-	.	protein_coding	ENSMUST00000118209.7	973.31	267	1052	1089.84	1753.3	1507.04	52.39	14.06	48.96	83.33	117.62	101.75	108.29	28.02	111.2	117.07	174.34	134.71
ENSMUSG00000000567.5	Sox9	chr11	112782224	112787760	.	+	.	protein_coding	ENSMUST00000000579.2	106	149	103	144	104	111	2.02	2.77	1.69	3.93	2.49	2.67	4.17	5.52	3.85	5.52	3.7	3.54
ENSMUSG00000000568.15	Hnrnpd	chr5	99955935	99978938	.	-	.	protein_coding	ENSMUST00000019128.14,ENSMUST00000072750.12,ENSMUST00000112939.9,ENSMUST00000172361.7	160	131	111	174	235	214	4.76	5.04	2.74	8.08	9.51	7.84	9.83	10.04	6.23	11.35	14.1	10.38
ENSMUSG00000000579.14	Dynlt1c	chr17	6601671	6609774	.	+	.	protein_coding	ENSMUST00000092966.4	16.88	112.96	29.23	11.11	9.14	3.52	0.53	3.47	0.79	0.5	0.36	0.14	1.1	6.92	1.81	0.7	0.53	0.18
ENSMUSG00000000581.8	C1d	chr11	17257579	17269176	.	+	.	protein_coding	ENSMUST00000000594.8	100	67	115	104	133	135	2.7	1.77	2.68	4.01	4.51	4.6	5.58	3.52	6.09	5.64	6.69	6.09
ENSMUSG00000000594.7	Gm2a	chr11	55098115	55113029	.	+	.	protein_coding	ENSMUST00000000608.7	232	687	268	201	196	177	4.43	12.81	4.42	5.49	4.71	4.27	9.15	25.52	10.04	7.72	6.98	5.66
ENSMUSG00000000600.15	Krit1	chr5	3803184	3845564	.	+	.	protein_coding	ENSMUST00000080085.8,ENSMUST00000171023.7,ENSMUST00000200386.4	156	174	118	93	114	142	4.17	4.51	3.11	3.56	3.85	5.2	8.61	9	7.08	5	5.71	6.88
ENSMUSG00000000605.9	Clcn4	chr7	7282309	7300851	.	-	.	protein_coding	ENSMUST00000000619.7,ENSMUST00000210061.1,ENSMUST00000210594.1	277	441	289	298	356	340	6.15	10.1	5.11	8.73	9.29	8.39	12.72	20.13	11.6	12.27	13.77	11.11
